county,court_name
FRANKLIN    ,CONSTABLE T.J.                
FRANKLIN    ,DICKINSON T.J.                
FRANKLIN    ,DUANE T.J.                    
FRANKLIN    ,FORT COVINGTON T.J.           
FRANKLIN    ,FRANKLIN T.J.                 
FRANKLIN    ,HARRIETSTOWN T.J.             
FRANKLIN    ,MALONE T.J.                   
FRANKLIN    ,MOIRA T.J.                    
FRANKLIN    ,SANTA CLARA T.J.              
FRANKLIN    ,WAVERLY T.J.                  
FRANKLIN    ,WESTVILLE T.J.                
FRANKLIN    ,MALONE V.J.                   
FRANKLIN    ,SARANAC LAKE V.J.             
FRANKLIN    ,TUPPER LAKE VILLAGE COURT     
FULTON      ,BLEECKER T.J.                 
FULTON      ,BROADALBIN T.J.               
FULTON      ,CAROGA T.J.                   
FULTON      ,EPHRATAH T.J.                 
FULTON      ,JOHNSTOWN T.J.                
FULTON      ,MAYFIELD T.J.                 
FULTON      ,NORTHAMPTON T.J.              
FULTON      ,OPPENHEIM T.J.                
FULTON      ,PERTH T.J.                    
FULTON      ,STRATFORD T.J.                
FULTON      ,BROADALBIN V.J.               
GENESEE     ,ALABAMA T.J.                  
GENESEE     ,ALEXANDER T.J.                
GENESEE     ,BATAVIA T.J.                  
GENESEE     ,BERGEN T.J.                   
GENESEE     ,BETHANY T.J.                  
GENESEE     ,BYRON T.J.                    
GENESEE     ,DARIEN T.J.                   
GENESEE     ,ELBA T.J.                     
GENESEE     ,LEROY T.J.                    
GENESEE     ,OAKFIELD T.J.                 
GENESEE     ,PAVILION T.J.                 
GENESEE     ,PEMBROKE T.J.                 
GENESEE     ,STAFFORD T.J.                 
GENESEE     ,CORFU V.J.                    
GENESEE     ,OAKFIELD V.J.                 
GREENE      ,ASHLAND T.J.                  
GREENE      ,ATHENS T.J.                   
GREENE      ,CAIRO T.J.                    
GREENE      ,CATSKILL T.J.                 
GREENE      ,COXSACKIE T.J.                
GREENE      ,DURHAM T.J.                   
GREENE      ,GREENVILLE T.J.               
GREENE      ,HALCOTT T.J.                  
GREENE      ,HUNTER T.J.                   
GREENE      ,JEWETT T.J.                   
GREENE      ,LEXINGTON T.J.                
GREENE      ,NEW BALTIMORE T.J.            
GREENE      ,PRATTSVILLE T.J.              
GREENE      ,WINDHAM T.J.                  
GREENE      ,ATHENS V.J.                   
GREENE      ,CATSKILL V.J.                 
GREENE      ,COXSACKIE V.J.                
GREENE      ,HUNTER V.J.                   
GREENE      ,TANNERSVILLE V.J.             
HAMILTON    ,ARIETTA T.J.                  
HAMILTON    ,BENSON T.J.                   
HAMILTON    ,HOPE T.J.                     
HAMILTON    ,INDIAN LAKE T.J.              
HAMILTON    ,INLET T.J.                    
HAMILTON    ,LAKE PLEASANT T.J.            
HAMILTON    ,LONG LAKE T.J.                
HAMILTON    ,MOREHOUSE T.J.                
HAMILTON    ,WELLS T.J.                    
HERKIMER    ,COLUMBIA T.J.                 
HERKIMER    ,DANUBE T.J.                   
HERKIMER    ,FAIRFIELD T.J.                
HERKIMER    ,FRANKFORT T.J.                
HERKIMER    ,GERMAN FLATTS T.J.            
HERKIMER    ,HERKIMER T.J.                 
HERKIMER    ,LITCHFIELD T.J.               
HERKIMER    ,LITTLE FALLS T.J.             
HERKIMER    ,MANHEIM T.J.                  
HERKIMER    ,NEWPORT T.J.                  
HERKIMER    ,NORWAY T.J.                   
HERKIMER    ,OHIO T.J.                     
HERKIMER    ,RUSSIA T.J.                   
HERKIMER    ,SALISBURY T.J.                
HERKIMER    ,SCHUYLER T.J.                 
HERKIMER    ,STARK T.J.                    
HERKIMER    ,WARREN T.J.                   
HERKIMER    ,WEBB T.J.                     
HERKIMER    ,WINFIELD T.J.                 
HERKIMER    ,FRANKFORT V.J.                
HERKIMER    ,HERKIMER V.J.                 
HERKIMER    ,ILION V.J.                    
HERKIMER    ,MIDDLEVILLE V.J.              
HERKIMER    ,MOHAWK V.J.                   
HERKIMER    ,NEWPORT V.J.                  
HERKIMER    ,POLAND V.J.                   
HERKIMER    ,COLD BROOK V.J.               
JEFFERSON   ,ADAMS T.J.                    
JEFFERSON   ,ALEXANDRIA T.J.               
JEFFERSON   ,ANTWERP T.J.                  
JEFFERSON   ,BROWNVILLE T.J.               
JEFFERSON   ,CAPE VINCENT T.J.             
JEFFERSON   ,CHAMPION T.J.                 
JEFFERSON   ,CLAYTON T.J.                  
JEFFERSON   ,ELLISBURG T.J.                
JEFFERSON   ,HENDERSON T.J.                
JEFFERSON   ,HOUNSFIELD T.J.               
JEFFERSON   ,LE RAY T.J.                   
JEFFERSON   ,LORRAINE T.J.                 
JEFFERSON   ,LYME T.J.                     
JEFFERSON   ,ORLEANS T.J.                  
JEFFERSON   ,PAMELIA T.J.                  
JEFFERSON   ,PHILADELPHIA T.J.             
JEFFERSON   ,RODMAN T.J.                   
JEFFERSON   ,RUTLAND T.J.                  
JEFFERSON   ,THERESA T.J.                  
JEFFERSON   ,WATERTOWN T.J.                
JEFFERSON   ,WILNA T.J.                    
JEFFERSON   ,WORTH T.J.                    
JEFFERSON   ,ADAMS V.J.                    
JEFFERSON   ,ALEXANDRIA BAY V.J.           
JEFFERSON   ,BROWNVILLE V.J.               
JEFFERSON   ,CARTHAGE V.J.                 
JEFFERSON   ,CLAYTON V.J.                  
JEFFERSON   ,DEXTER V.J.                   
JEFFERSON   ,GLEN PARK V.J.                
JEFFERSON   ,PHILADELPHIA V.J.             
JEFFERSON   ,SACKETS HARBOR V.J.           
JEFFERSON   ,WEST CARTHAGE V.J.            
JEFFERSON   ,THERESA VILLAGE COURT         
LEWIS       ,CROGHAN T.J.                  
LEWIS       ,DENMARK T.J.                  
LEWIS       ,DIANA T.J.                    
LEWIS       ,GREIG T.J.                    
LEWIS       ,HARRISBURG T.J.               
LEWIS       ,LEWIS T.J.                    
LEWIS       ,LEYDEN T.J.                   
LEWIS       ,LOWVILLE T.J.                 
LEWIS       ,LYONSDALE T.J.                
LEWIS       ,MARTINSBURG T.J.              
LEWIS       ,NEW BREMEN T.J.               
LEWIS       ,OSCEOLA T.J.                  
LEWIS       ,PINCKNEY T.J.                 
LEWIS       ,TURIN T.J.                    
LEWIS       ,WATSON T.J.                   
LEWIS       ,WEST TURIN T.J.               
LEWIS       ,MONTAGUE TOWN COURT           
LEWIS       ,LOWVILLE V.J.                 
LEWIS       ,PORT LEYDEN V.J.              
LIVINGSTON  ,AVON T.J.                     
LIVINGSTON  ,CALEDONIA T.J.                
LIVINGSTON  ,CONESUS T.J.                  
LIVINGSTON  ,GENESEO T.J.                  
LIVINGSTON  ,GROVELAND T.J.                
LIVINGSTON  ,LEICESTER T.J.                
LIVINGSTON  ,LIMA T.J.                     
LIVINGSTON  ,LIVONIA T.J.                  
LIVINGSTON  ,MOUNT MORRIS T.J.             
LIVINGSTON  ,NORTH DANSVILLE T.J.          
LIVINGSTON  ,NUNDA T.J.                    
LIVINGSTON  ,OSSIAN T.J.                   
LIVINGSTON  ,PORTAGE T.J.                  
LIVINGSTON  ,SPARTA T.J.                   
LIVINGSTON  ,SPRINGWATER T.J.              
LIVINGSTON  ,WEST SPARTA T.J.              
LIVINGSTON  ,YORK T.J.                     
LIVINGSTON  ,AVON V.J.                     
LIVINGSTON  ,CALEDONIA V.J.                
LIVINGSTON  ,DANSVILLE V.J.                
LIVINGSTON  ,GENESEO V.J.                  
LIVINGSTON  ,MOUNT MORRIS V.J.             
LIVINGSTON  ,NUNDA V.J.                    
MADISON     ,BROOKFIELD T.J.               
MADISON     ,CAZENOVIA T.J.                
MADISON     ,DE RUYTER T.J.                
MADISON     ,EATON T.J.                    
MADISON     ,FENNER T.J.                   
MADISON     ,GEORGETOWN T.J.               
MADISON     ,HAMILTON T.J.                 
MADISON     ,LEBANON T.J.                  
MADISON     ,LENOX T.J.                    
MADISON     ,LINCOLN T.J.                  
MADISON     ,MADISON T.J.                  
MADISON     ,NELSON T.J.                   
MADISON     ,SMITHFIELD T.J.               
MADISON     ,STOCKBRIDGE T.J.              
MADISON     ,SULLIVAN T.J.                 
MADISON     ,CANASTOTA V.J.                
MADISON     ,CAZENOVIA V.J.                
MADISON     ,DE RUYTER V.J.                
MADISON     ,HAMILTON V.J.                 
MADISON     ,MORRISVILLE V.J.              
MADISON     ,CHITTENANGO V.J.              
MONROE      ,BRIGHTON T.J.                 
MONROE      ,CHILI T.J.                    
MONROE      ,CLARKSON T.J.                 
MONROE      ,GATES T.J.                    
MONROE      ,GREECE T.J.                   
MONROE      ,HAMLIN T.J.                   
MONROE      ,HENRIETTA T.J.                
MONROE      ,IRONDEQUOIT T.J.              
MONROE      ,MENDON T.J.                   
MONROE      ,OGDEN T.J.                    
MONROE      ,PARMA T.J.                    
MONROE      ,PENFIELD T.J.                 
MONROE      ,PERINTON T.J.                 
MONROE      ,PITTSFORD T.J.                
MONROE      ,RIGA T.J.                     
MONROE      ,RUSH T.J.                     
MONROE      ,SWEDEN T.J.                   
MONROE      ,WEBSTER T.J.                  
MONROE      ,WHEATLAND T.J.                
MONROE      ,EAST ROCHESTER T.J.           
MONROE      ,FAIRPORT V.J.                 
MONROE      ,HONEOYE FALLS VILLAGE COURT   
MONROE      ,BROCKPORT VILLAGE COURT       
MONTGOMERY  ,AMSTERDAM T.J.                
MONTGOMERY  ,CANAJOHARIE T.J.              
MONTGOMERY  ,CHARLESTON T.J.               
MONTGOMERY  ,FLORIDA T.J.                  
MONTGOMERY  ,GLEN T.J.                     
MONTGOMERY  ,MINDEN T.J.                   
MONTGOMERY  ,MOHAWK T.J.                   
MONTGOMERY  ,PALATINE T.J.                 
MONTGOMERY  ,ROOT T.J.                     
MONTGOMERY  ,ST. JOHNSVILLE T.J.           
MONTGOMERY  ,ST.JOHNSVILLE V.J.            
MONTGOMERY  ,FULTONVILLE V.J.              
MONTGOMERY  ,CANAJOHARIE VILLAGE CT        
NASSAU      ,HEWLETT NECK VILLAGE CT       
NASSAU      ,THOMASTON V.J.                
NASSAU      ,GARDEN CITY V.J.              
NASSAU      ,SEA CLIFF V.J.                
NASSAU      ,PLANDOME HEIGHTS V.J.         
NASSAU      ,BAYVILLE V.J.                 
NASSAU      ,BELLEROSE V.J.                
NASSAU      ,BROOKVILLE V.J.               
NASSAU      ,CENTRE ISLAND V.J.            
NASSAU      ,COVE NECK V.J.                
NASSAU      ,EAST HILLS V.J.               
NASSAU      ,EAST ROCKAWAY V.J.            
NASSAU      ,FARMINGDALE V.J.              
NASSAU      ,FLORAL PARK V.J.              
NASSAU      ,FREEPORT V.J.                 
NASSAU      ,GREAT NECK V.J.               
NASSAU      ,GREAT NECK ESTATES V.J.       
